city,country,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,data_quality,food_cost_index,transportation_cost_index,bills_cost_index,hobby_cost_index,education_cost_index,dressing_cost_index,realestate_cost_index
Tatabanya,Hungary,6.43,30.02,3.34,1.47,2.02,2.2,0.98,0.8,0.59,1.29,1.49,1.54,10.46,4.2,11.83,1.29,1.2,1.46,2.57,0.85,0.6,0.77,0.28,2.83,0.82,0.99,4.63,0.9,18.0,1.8,0.77,11.18,1.08,12199.83,14642.36,180.19,0.08,12.43,36.85,15.43,3.86,89.99,8770.87,66.85,15.43,77.0,64.28,257.11,205.69,385.66,334.24,1465.52,2341.93,871.6,4.0,0,62.17325923473538,90.24798123240132,86.4505277722612,94.98781421265818,93.22441798471361,96.73739640905599,91.65959864358803
Trabzon,Turkey,2.41,13.42,2.95,1.48,1.48,1.41,0.51,0.13,0.68,0.4,0.83,1.17,3.4,2.13,6.56,0.74,1.6,1.2,1.07,0.45,0.35,0.48,0.38,4.15,1.56,1.54,1.53,0.27,6.44,0.64,0.38,2.55,1.26,29516.1,32467.7,82.51,0.03,7.3,14.31,12.52,2.15,132.78,4024.92,13.42,17.89,50.09,25.94,77.82,53.67,134.16,107.33,939.15,643.99,359.79,6.52,1,18.983265108678964,76.98352749385545,48.22458037774409,73.50481937973673,90.5473547198276,79.23087058393183,75.93399350040096
Kettering,United Kingdom,9.84,92.25,7.38,4.31,3.69,3.08,0.98,0.62,1.15,2.04,2.46,2.58,10.85,14.76,11.72,2.75,1.55,2.36,2.56,1.57,1.23,1.23,0.99,8.64,1.66,2.31,6.29,1.52,43.98,2.77,1.91,17.18,1.36,23781.48,23878.49,136.25,0.14,61.5,36.85,15.78,12.3,489.58,8770.87,52.62,35.04,77.0,85.98,711.57,560.16,1076.25,974.08,3235.27,2341.93,1821.19,6.52,0,122.11917734073796,107.02465350222306,117.75928604508324,109.57286145034426,104.85335964626117,102.19678985437851,103.59421812291772
Faro,Portugal,10.54,42.15,6.85,2.63,2.63,1.81,1.26,1.01,1.06,1.61,1.24,1.83,8.96,4.7,11.94,1.72,1.33,2.39,2.18,1.4,1.12,1.54,0.97,5.27,1.49,1.29,5.32,2.48,42.15,5.06,1.23,15.6,2.14,31612.36,27581.78,71.65,0.26,45.05,31.61,13.17,7.38,895.68,8703.94,85.35,31.35,69.81,104.06,790.31,658.59,1498.63,1166.76,2555.33,1826.49,1138.4,2.27,1,97.58074808656612,112.14219590685107,112.17869965361164,99.1404059092176,108.94770933528616,105.11042564584699,104.30889111657676
Schenectady,United States,40.0,75.0,6.5,3.67,3.5,5.0,1.5,1.5,0.84,2.2,2.19,2.35,16.39,6.59,19.28,3.17,1.44,2.36,4.94,2.14,2.73,1.87,1.49,14.5,2.61,1.85,12.72,1.75,72.5,3.5,1.24,17.18,1.26,25695.0,22167.5,149.54,0.33,90.0,20.0,15.78,13.0,550.0,10000.0,42.5,18.99,73.5,86.0,711.57,560.16,2100.0,1250.0,3235.27,2341.93,2693.0,5.43,0,145.33999490501208,108.37945806747271,139.94170446724746,102.71130591411466,106.55267825167239,96.73257620842219,105.82631105885999
Bayonne,United States,19.0,87.5,8.5,6.0,8.0,4.5,2.11,1.67,1.04,1.1,1.62,3.04,4.83,13.96,13.73,2.8,1.07,1.65,2.2,0.99,1.1,1.0,1.93,5.0,2.73,2.79,9.0,2.55,75.0,3.8,1.55,32.5,1.23,22950.0,23271.43,132.48,0.3,64.21,120.0,15.78,17.0,2375.0,27833.33,45.0,20.0,50.0,50.0,1850.0,560.16,2600.0,3500.0,3235.27,2341.93,3398.0,5.19,0,128.1117914713084,113.01880869236501,130.70924783667584,128.14427763074437,123.62336564435871,91.60561867230817,111.17311240314412
Yoro,Honduras,7.5,31.0,8.5,2.0,4.5,2.67,1.44,0.71,1.34,2.48,2.2,2.0,7.51,4.78,11.82,2.82,1.1,1.1,0.55,1.1,1.1,1.0,2.0,10.0,1.29,2.92,3.0,1.52,43.98,2.0,1.23,10.0,1.12,35000.0,30000.0,200.0,0.2,110.0,36.85,15.78,8.37,358.33,4200.0,40.0,20.0,40.0,50.0,711.57,560.16,1253.98,974.08,3235.27,2341.93,1821.19,17.0,0,100.25376159703626,103.77306900292179,139.7858930954056,104.82034036602357,97.65537240623263,89.47039032773304,103.96590058556754
East Orange,United States,25.0,45.0,9.0,5.0,6.0,3.5,1.95,1.39,1.27,2.92,5.51,2.35,7.61,24.25,22.05,11.02,3.95,11.02,10.56,2.2,8.36,1.99,5.0,18.99,1.66,2.99,11.0,3.0,43.98,3.0,1.24,30.0,1.29,22000.0,22000.0,100.0,0.5,80.0,36.85,15.78,12.75,750.0,5000.0,80.0,30.0,85.0,60.0,1200.0,1000.0,1675.0,1375.0,3235.27,2341.93,3084.0,6.52,0,184.29535819049948,109.49140085896077,138.19780784324865,110.01647667801807,103.9232858460893,102.21378241908224,108.18841503360721
Manouba,Tunisia,2.17,7.74,4.34,0.96,0.91,0.46,0.37,0.19,0.43,0.08,0.77,1.36,3.72,3.72,10.22,1.24,1.86,0.77,2.56,0.53,1.52,1.23,0.26,8.64,1.66,2.31,2.48,0.2,43.98,0.19,1.23,17.18,0.62,23781.48,33767.04,136.25,0.14,46.47,36.85,15.78,8.37,489.58,8770.87,52.62,35.04,77.0,85.98,711.57,560.16,1253.98,974.08,3235.27,2341.93,1821.19,6.52,0,24.424357328087765,86.5315251469114,113.0900104324498,104.82034036602357,104.85335964626117,102.19678985437851,103.96590058556754
Inhambane,Mozambique,10.35,43.36,6.93,3.38,3.94,2.75,1.52,1.12,1.15,1.61,2.19,2.35,9.5,7.17,11.72,2.75,1.55,2.36,2.56,1.57,1.52,1.23,0.99,8.64,1.66,2.31,6.29,1.52,43.98,2.77,1.23,17.18,1.36,23781.48,23878.49,136.25,0.14,146.32,36.85,15.78,8.37,489.58,8770.87,52.62,35.04,77.0,85.98,711.57,560.16,1253.98,974.08,3235.27,2341.93,1821.19,6.52,0,117.57727105692739,105.41035646632407,132.2014675283906,104.82034036602357,104.85335964626117,102.19678985437851,103.96590058556754
