"job_title","country","currency","average_salary"
"Data Engineer","SE","USD","130000"
"Data Analyst","SG","USD","80000"
"Data Scientist","SG","USD","38160"
"Data Scientist","South America","USD","20000"
"ML Engineer","TH","USD","15000"
"AI Engineer","TR","USD","20000"
"Data Scientist","TR","USD","25000"
"ML Engineer","TR","USD","27000"
"AI Engineer","UA","USD","72666.66666666667"
"Data Engineer","UA","USD","82000"
"ML Engineer","UA","USD","170000"
"Data Lecturer","UK","USD","75000"
"Data Scientist","UK","USD","63300"
"AI Engineer","US","USD","181271.40789473685"
"Algorithm Developer","US","USD","160000"
"Analytics Engineer","US","USD","163965.87297297298"
"Analytics Manager","US","USD","111500"
"Applied Scientist","US","USD","190248.48505747126"
"Associate Finance Manager - Data Science","US","USD","93000"
"Bear Robotics","US","USD","167500"
"BI Analyst","US","USD","128240.94375"
"BI Developer","US","USD","110680.14754098361"
"BI Engineer","US","USD","142874.9537815126"
"BI Manager","US","USD","140700"
"Business Intelligence Engineer III","US","USD","110000"
"Client Insights Consultant","US","USD","152000"
"Computational Biologist","US","USD","205000"
"Computer Vision Engineer","US","USD","205278.26086956522"
"Computer Vision Software Engineer","US","USD","70000"
"Data Analyst","US","USD","112495.54943679599"
"Data Engineer","US","USD","153863.62662639405"
"Data Manager","US","USD","145726.76504297994"
"Data Science Director","US","USD","212000"
"Data Science Manager","US","USD","170000"
"Data Scientist","US","USD","161734.65792062972"
"Decision Scientist","US","USD","165305.4054054054"
"Deep Learning Engineer","US","USD","218855"
"Developer","US","USD","210000"
"Digital Engineering Graduate","US","USD","30000"
"Director","US","USD","182500"
"Director of Data Science","US","USD","201250"
"Director, Data Science","US","USD","230000"
"ETL Developer","US","USD","127614.23076923077"
"ETL Engineer","US","USD","150000"
"Founder","US","USD","10000"
"Head of &lt;program related to data science&gt","US","USD","150000"
"Head Scientist","US","USD","120000"
"HPC Systems Engineer","US","USD","186000"
"Informatics Manager","US","USD","160000"
"Insight Analyst","US","USD","45000"
"Insights Consultant","US","USD","150000"
"Manager, Risk Strategy &amp; Policy (Data Science","US","USD","110000"
"Marketing Coordinator","US","USD","30000"
"Marketing Manager ","US","USD","128000"
"ML Engineer","US","USD","194962.85083160084"
"NLP Engineer","US","USD","177272.72727272726"
"NLP Scientist","US","USD","110000"
"Principal Business Intelligence Engineer","US","USD","200000"
"Product Analyst","US","USD","104772.72727272728"
"Prompt Engineer","US","USD","215080.64285714287"
"Quant Trader","US","USD","135000"
"quantitative modeling / data science","US","USD","115000"
"Quantitative Researcher","US","USD","250000"
"Quantitative UX Researcher ","US","USD","160000"
"Research Associate","US","USD","55000"
"Research Engineer","US","USD","186968.64165733484"
"Research Investigator","US","USD","117000"
"Research Scientist","US","USD","100000"
"Researcher","US","USD","200000"
"Robotics Engineer","US","USD","140416.66666666666"
"Robotics Software Engineer","US","USD","196625"
"Scientist: Statistics","US","USD","135000"
"Service specialist","US","USD","56000"
"Sr. Data Engineer","US","USD","144000"
"Staff Research Scientist","US","USD","265000"
"VP of Data Science","US","USD","225000"
NULL,"US","USD","107880"
"ML Engineer","VN","USD","63000"
"Data Engineer","ZA","USD","100492.5"
